,Unnamed: 0,Date,Bitcoin_Close,Bitcoin_Return,Bitcoin_Vol,BNB_Close,BNB_Return,BNB_Vol,Doge_Close,Doge_Return,Doge_Vol,Ethereum_Close,Ethereum_Return,Ethereum_Vol,weight,weighted conviction,normalized weighted conviction,conviction avg,conviction std,weighted conviction avg,weighted conviction std
1793,1320,2020-09-18,10960.0,0.0019930153041634,0.0171392218444708,27.2279,-0.0233965323060808,0.0846476542526501,0.002785,-0.0071301247771836,0.0110798467127057,382.35,-0.0123727850390038,0.0452269847133254,999.0,497.1843598,0.4976820417917918,0.728906127,0.2863459832089099,26.167597881578946,73.58125255908406
1798,1325,2020-09-19,10950.5,-0.0008667883211679,0.0167415477194255,26.9367,-0.0106949122040261,0.0350780164142425,0.002789,0.001436265709156,0.0102034905605367,381.83,-0.001360010461619,0.0403648378923895,1264.0,646.6927574700001,0.5116240169857595,0.7434897127027027,0.3909411861430669,17.478182634324327,72.02780277651635
1804,1330,2020-09-20,10957.9,0.0006757682297611,0.013449415918628,26.5732,-0.0134946003036748,0.0343431214733826,0.002788,-0.0003585514521332,0.0080208809911591,374.19,-0.0200089044862896,0.0337442159181134,125.0,105.7721452,0.846177161,0.8676190184210526,0.0618796046179464,5.5669550078947365,10.724001989990189
1811,1335,2020-09-21,10450.9,-0.04626798930452,0.0191956637091133,23.5049,-0.1154659581834329,0.0505737722125987,0.00261,-0.0638450502152081,0.0242577199185079,343.17,-0.0828990619738635,0.0448099150233923,9.0,7.69573343,0.8550814922222222,0.848858316,0.064448309,0.961966679,0.3478242192863919
1817,1340,2020-09-22,10485.9,0.0033489938665569,0.019262394079094,24.0124,0.0215912426770588,0.049004294254849,0.002633,0.0088122605363984,0.0247929562547899,341.82,-0.003933910306845,0.0422905234873966,3.0,0.91625255,0.3054175166666666,0.3054175166666666,0.5289986563881811,0.3054175166666666,0.5289986563881811
1824,1345,2020-09-23,10300.2,-0.0177094956083883,0.0185897272866178,23.218,-0.0330829071646315,0.0445765393615541,0.00259,-0.0163311811621724,0.0249274092666754,324.78,-0.0498507986659646,0.0348172046673771,2.0,1.86220253,0.931101265,0.8652360433333334,0.1142904120159982,0.6207341766666666,0.5376158522260319
1830,1350,2020-09-24,10685.4,0.0373973320906388,0.0251783904601941,24.5613,0.0578559738134205,0.0534463896699529,0.002684,0.0362934362934364,0.0304116541159299,345.97,0.0652441652811135,0.0458339051878158,293.0,258.7931467,0.8832530603412969,0.8280128619230769,0.1862104948540059,9.953582564615385,20.01949478090801
1838,1355,2020-09-25,10706.4,0.0019652984446065,0.025177465306216,24.6526,0.0037172299511833,0.0538585371653616,0.002707,0.008569299552906,0.0308789442699738,351.83,0.0169378847876982,0.0474278311197858,156.0,129.5734823,0.8305992457051281,0.8341493865217392,0.09602437,5.633629666521739,8.929800873476879
1846,1360,2020-09-26,10778.7,0.0067529701860571,0.0254515836610888,26.4805,0.0741463375059832,0.063154260029982,0.002717,0.0036941263391205,0.0309524135291001,358.88,0.0200380865759031,0.0488100272224765,11.0,8.20957271,0.7463247918181818,0.749805761,0.2874316414294676,0.8209572709999999,0.3566342871981182
1851,1365,2020-09-27,10895.8,0.010864018851995,0.0259156296108284,26.4809,1.5105454957309306e-05,0.0629031715412556,0.002712,-0.0018402649981597,0.0309339314510035,358.32,-0.0015604101649576,0.0485370903496311,1007.0,570.4520484,0.5664866419165839,0.7283134336363637,0.2713402736604935,12.964819282045454,28.01705397672425
